trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
536741826,9,10/1/2022 8:04,10/1/2022 8:13,3210,39.984921,-75.156677,3097,39.978882,-75.133392,14626,30,One Way,Indego30,standard
536741825,10,10/1/2022 8:04,10/1/2022 8:14,3054,39.962502,-75.174202,3170,39.94426,-75.181343,22646,30,One Way,Indego30,electric
536741824,4,10/1/2022 8:07,10/1/2022 8:11,3074,39.955109,-75.209869,3159,39.95121,-75.199623,17841,30,One Way,Indego30,electric
536742030,15,10/1/2022 8:09,10/1/2022 8:24,3107,39.982029,-75.18866,3255,39.950951,-75.164383,17081,30,One Way,Indego30,electric
536742029,13,10/1/2022 8:10,10/1/2022 8:23,3167,39.950249,-75.160278,3088,39.969841,-75.1418,5269,365,One Way,Indego365,standard
536741925,5,10/1/2022 8:12,10/1/2022 8:17,3078,39.953548,-75.171921,3063,39.946331,-75.1698,5287,365,One Way,Indego365,standard
536741924,6,10/1/2022 8:13,10/1/2022 8:19,3116,39.96006,-75.171982,3255,39.950951,-75.164383,22750,365,One Way,Indego365,electric
536742026,5,10/1/2022 8:16,10/1/2022 8:21,3203,39.940769,-75.172272,3032,39.945271,-75.17971,20936,30,One Way,Indego30,electric
536742025,7,10/1/2022 8:16,10/1/2022 8:23,3030,39.93935,-75.157158,3190,39.948921,-75.169907,23298,365,One Way,Indego365,electric
536742334,18,10/1/2022 8:18,10/1/2022 8:36,3046,39.950119,-75.144722,3266,39.923698,-75.147011,5189,30,One Way,Indego30,standard
536742024,5,10/1/2022 8:19,10/1/2022 8:24,3256,39.95269,-75.177788,3063,39.946331,-75.1698,14524,30,One Way,Indego30,standard
536742227,15,10/1/2022 8:19,10/1/2022 8:34,3100,39.927769,-75.151031,3190,39.948921,-75.169907,23164,30,One Way,Indego30,electric
536742331,17,10/1/2022 8:21,10/1/2022 8:38,,,,,,,,,,,
536742124,6,10/1/2022 8:23,10/1/2022 8:29,3276,39.965691,-75.156792,3154,39.95924,-75.158211,5365,30,One Way,Indego30,standard
536742225,11,10/1/2022 8:24,10/1/2022 8:35,3258,39.958279,-75.224243,3074,39.955109,-75.209869,17071,365,One Way,Indego365,electric
536742224,4,10/1/2022 8:28,10/1/2022 8:32,3066,39.94561,-75.173477,3248,39.942131,-75.18335,3590,365,One Way,Indego365,standard
536742327,7,10/1/2022 8:29,10/1/2022 8:36,3161,39.954861,-75.180908,3067,39.964111,-75.19973,22970,30,One Way,Indego30,electric
536742326,11,10/1/2022 8:29,10/1/2022 8:40,3125,39.943909,-75.167351,3020,39.948551,-75.190071,2725,30,One Way,Indego30,standard
536742325,7,10/1/2022 8:31,10/1/2022 8:38,3070,39.960621,-75.139832,3059,39.96244,-75.161209,11706,365,One Way,Indego365,standard
536742427,11,10/1/2022 8:33,10/1/2022 8:44,3157,39.925449,-75.159538,3069,39.937038,-75.150383,14494,30,One Way,Indego30,standard
536742426,10,10/1/2022 8:34,10/1/2022 8:44,3208,39.950481,-75.193237,3190,39.948921,-75.169907,21860,30,One Way,Indego30,electric
536742324,3,10/1/2022 8:36,10/1/2022 8:39,3201,39.955231,-75.166199,3204,39.964371,-75.165817,22110,30,One Way,Indego30,electric
536742527,8,10/1/2022 8:37,10/1/2022 8:45,3187,39.957249,-75.172318,3062,39.951969,-75.179428,2673,30,One Way,Indego30,standard
536742424,5,10/1/2022 8:38,10/1/2022 8:43,3037,39.954239,-75.161377,3040,39.962891,-75.166061,16754,365,One Way,Indego365,electric
536742525,6,10/1/2022 8:39,10/1/2022 8:45,3032,39.945271,-75.17971,3190,39.948921,-75.169907,11852,30,One Way,Indego30,standard
536769940,40,10/1/2022 8:41,10/1/2022 9:21,3275,39.975761,-75.121567,3275,39.975761,-75.121567,23719,30,Round Trip,Indego30,electric
536742524,6,10/1/2022 8:44,10/1/2022 8:50,3043,39.93082,-75.174744,3158,39.925522,-75.169037,23708,30,One Way,Indego30,electric
536742724,10,10/1/2022 8:50,10/1/2022 9:00,3254,39.980911,-75.160652,3166,39.971951,-75.134453,23002,30,One Way,Indego30,electric
536761227,14,10/1/2022 8:53,10/1/2022 9:07,3073,39.96143,-75.15242,3226,39.98101,-75.137207,14505,30,One Way,Indego30,standard
536751525,7,10/1/2022 8:53,10/1/2022 9:00,3037,39.954239,-75.161377,3078,39.953548,-75.171921,3363,30,One Way,Indego30,standard
536761225,13,10/1/2022 8:53,10/1/2022 9:06,3102,39.96759,-75.17952,3190,39.948921,-75.169907,22582,30,One Way,Indego30,electric
536751524,7,10/1/2022 8:56,10/1/2022 9:03,3170,39.94426,-75.181343,3161,39.954861,-75.180908,3571,30,One Way,Indego30,standard
536769830,18,10/1/2022 9:00,10/1/2022 9:18,3055,39.951118,-75.154572,3057,39.96439,-75.179871,3515,365,One Way,Indego365,standard
536769726,9,10/1/2022 9:04,10/1/2022 9:12,3168,39.95134,-75.173943,3058,39.967159,-75.170013,14581,30,One Way,Indego30,standard
536769725,7,10/1/2022 9:05,10/1/2022 9:12,3256,39.95269,-75.177788,3125,39.943909,-75.167351,23087,365,One Way,Indego365,electric
536770036,19,10/1/2022 9:07,10/1/2022 9:26,3161,39.954861,-75.180908,3170,39.94426,-75.181343,19634,30,One Way,Indego30,electric
536769827,10,10/1/2022 9:09,10/1/2022 9:19,3167,39.950249,-75.160278,3049,39.945091,-75.142502,3663,30,One Way,Indego30,standard
536769929,9,10/1/2022 9:12,10/1/2022 9:21,3068,39.93549,-75.167107,3185,39.951691,-75.158882,23863,365,One Way,Indego365,electric
536769826,6,10/1/2022 9:13,10/1/2022 9:19,3101,39.942951,-75.159554,3010,39.947109,-75.166183,3295,365,One Way,Indego365,standard
536770032,11,10/1/2022 9:14,10/1/2022 9:26,3161,39.954861,-75.180908,3248,39.942131,-75.18335,5273,365,One Way,Indego365,standard
536770031,13,10/1/2022 9:14,10/1/2022 9:27,3277,39.983059,-75.167381,3168,39.95134,-75.173943,18682,30,One Way,Indego30,electric
536770245,21,10/1/2022 9:14,10/1/2022 9:35,3157,39.925449,-75.159538,3166,39.971951,-75.134453,23132,30,One Way,Indego30,electric
536770133,17,10/1/2022 9:15,10/1/2022 9:32,3246,39.947819,-75.223007,3022,39.95472,-75.183228,5294,365,One Way,Indego365,standard
536769925,6,10/1/2022 9:17,10/1/2022 9:23,3030,39.93935,-75.157158,3185,39.951691,-75.158882,22575,30,One Way,Indego30,electric
536769924,7,10/1/2022 9:18,10/1/2022 9:25,3060,39.959229,-75.170357,3190,39.948921,-75.169907,22908,30,One Way,Indego30,electric
536770239,17,10/1/2022 9:20,10/1/2022 9:37,3035,39.962711,-75.194191,3037,39.954239,-75.161377,19297,30,One Way,Indego30,electric
536797681,58,10/1/2022 9:20,10/1/2022 10:18,3255,39.950951,-75.164383,3021,39.953899,-75.169022,5127,30,One Way,Indego30,standard
536770026,6,10/1/2022 9:21,10/1/2022 9:27,3073,39.96143,-75.15242,3065,39.970699,-75.151711,11913,30,One Way,Indego30,standard
